Название,Группа товара,Цена,Наличие
Vatech EzSensor  ,цифровой радиовизиограф,139 230 ₽,в наличии
Siger U200  ,"стоматологическая установка с нижней подачей инструментов, под вакуумную...",321 670 ₽,на складе
Saeyang Marathon3 Champion New ,"синий наконечником H35LSP (35000 об/мин, 2.9 Нсм) и п...",10 950 ₽,в наличии
Woodpecker LED.B  ,беспроводная светодиодная полимеризационная лампа,5 900 ₽,в наличии
NSK Nakanishi SMax M95L  ,"угловой повышающий наконечник с оптикой, 1:5",35 500 ₽,на складе
JustVision by Semorr JVM D  ,"операционный микроскоп с плавным изменением увеличения, ...",950 040 ₽,в наличии
Dr.Kim DKH50  ,"бестеневой налобный осветитель Dr.Kim, 100 000 люкс, вес 100 гр",84 310 ₽,в наличии
Labomed Prima DNT  ,мобильный стоматологический операционный микроскоп со светодиодны...,839 140 ₽,на складе
Bondent E200  ,стоматологическая установка с нижней подачей инструментов,604 800 ₽,на складе
NSK Nakanishi PanaMax PAXTU M4  ,"турбинный наконечник с керамическими подшипниками,...",13 400 ₽,на складе
Posdion Rextar X  ,высокочастотный портативный дентальный рентген,173 750 ₽,на складе
Labomed Magna  ,моторизованный операционный микроскоп со светодиодным освещением,1 547 000 ₽,на складе
Woodpecker UDSE LED  ,автономный ультразвуковой скалер с фиброоптикой (с перио - и э...,18 900 ₽,на складе
Ekom DK5010 Z  ,"безмасляный компрессор для одной стоматологической установки, выходн...",71 880 ₽,на складе
Cattani AspiJet 6  ,автономный аспиратор с резервуаром на 4 литра,87 900 ₽,на складе
NSK Nakanishi EndoMate TC2  ,беспроводной эндодонтический микромотор с миниатюрной г...,64 900 ₽,на складе
NSK Nakanishi Surgic Pro OPT  ,хирургический аппарат (физиодиспенсер) с наконечником ...,249 000 ₽,на складе
PointNix Point 3D Combi 500  ,цифровой панорамный рентген-аппарат + компьютерный томо...,2 875 020 ₽,на складе
NSK Nakanishi ProphyMate neo  ,система полировки для переходника Midwest,57 190 ₽,на складе
Vatech EzRay Air Portable  ,высокочастотный портативный дентальный рентген,185 640 ₽,на складе
Woson LUB909  ,аппарат для смазки и чистки наконечников (до 3-х инструментов одноврем...,45 000 ₽,на складе
NSK Nakanishi SMax M25L  ,"угловой наконечник общего назначения с оптикой, 1:1",24 990 ₽,в наличии
Woodpecker LED.C  ,"компактная беспроводная светодиодная фотополимеризационная лампа, ...",6 900 ₽,в наличии
,Рубикон-Инновация Ортос ЭКпс-20-1 - портативный электрокоагулятор (диатермокоагулятор),19 000 ₽,на складе
Dentsply Maillefer XSmart  ,эндодонтический мотор в комплекте с наконечником и редук...,90 000 ₽,на складе
NSK Nakanishi DynaLED M600LG M4  ,"турбинный наконечник со стандартной головкой, с ген...",41 800 ₽,на складе
Ekom DK50 2V  ,"безмасляный компрессор для 2-x стоматологических установок, выходное д...",123 270 ₽,на складе
Siger U100  ,"стоматологическая установка с нижней подачей инструментов, эжекторного т...",289 660 ₽,на складе
Siger S30  ,"стоматологическая установка с нижней подачей инструментов, эжекторного ти...",503 490 ₽,на складе
KaVo RONDOflex plus 360  ,воздушно-абразивный наконечник,83 950 ₽,на складе
Fengdan QL2028  ,"стоматологическая установка с верхней подачей инструментов, твердая...",222 500 ₽,на складе
Ajax AJ 11  ,"стоматологическая установка с нижней подачей инструментов, полиуретан/го...",357 780 ₽,на складе
Euronda Euroseal 2001 Plus  ,"устройство для запечатывания пакетов, ширина рулона до 3...",31 490 ₽,в наличии
W&H Set Assistina 301 Plus  ,комплект: аппарат для автоматической чистки и смазки нак...,76 340 ₽,на складе
Codyson CD4820  ,"ультразвуковая ванна, мойка с подогревом, 2,5 л",8 370 ₽,на складе
Dentsply Maillefer ProPex Pixi  ,портативный апекслокатор,37 000 ₽,на складе
Woodpecker UDS  ,"автономный ультразвуковой скалер, в комплекте 6 насадок (G1x2, G2, G...",19 800 ₽,в наличии
Dmetec Clevo  ,аппарат для быстрой дезинфекции стоматологических наконечников и инстр...,33 960 ₽,в наличии
Legrin 210HC  ,запечатывающее устройство для упаковки стоматологического и медицинско...,21 040 ₽,на складе
DTE DPEX III  ,"цифровой апекслокатор повышенной точности, с цветным дисплеем, золотис...",23 990 ₽,на складе
Ekom DK50 PLUS  ,"безмасляный компрессор без шкафа, без осушителя для одной стоматолог...",82 780 ₽,на складе
Cattani MonoJet Alpha  ,аспиратор для влажной аспирации для одной стоматологической ...,87 400 ₽,на складе
Woson TANZO C23 NEW  ,"автоматический автоклав B-класса, 23 л",195 000 ₽,на складе
NSK Nakanishi SMax M25  ,"угловой наконечник без оптики, 1:1",20 410 ₽,в наличии
KaVo PROPHYpearls  ,"порошок, карбонат кальция, мята, упаковка (80 шт. по 15 г.)",14 800 ₽,на складе
Woodpecker E1  ,"насадка для скалеров Woodpecker (эндочак 120°), для работы в корневых...",990 ₽,в наличии
Coxo CX207F  ,"турбинный наконечник с генератором света, со стандартной головкой, для...",10 990 ₽,в наличии
